train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,0.0,1.5931122303009033,1.0356172769577125e-06,47949023649.10672,2.059399220950821e-08,1.005251460218376e-06,35794298499.418655,2.7803104475669557e-08,1.0052514602183772e-06,35794298499.42279,2.780310447567002e-08,0.0013150364954337026,0.0019904524665706803,0.0010947028790523276,0.002123744629474951,0.003383983776771226,0.0017403968536100144,0.0021237446294747704,0.0033839837767713475,0.0017403968536092683,0.0021256567000359832,0.003387711605104539,0.0017479421948359926
1000,0.0,3.8482890129089355,5.839821493194843e-07,56119575964.36675,2.636081074121478e-08,6.311899080323589e-06,987805475431.962,2.1965654255878724e-07,6.31189908032359e-06,987805475431.9596,2.196565425587861e-07,0.001030334594879215,0.0016426182038649518,0.000945083895426281,0.0014037154964065138,0.0022781092297329032,0.001314965994397077,0.0014037154964064795,0.002278109229732999,0.0013149659943974001,0.0014116462672142057,0.0022821464762936756,0.0013176933438769287
1500,0.0,5.866272211074829,4.04102540364858e-07,33070435311.63162,8.059159079875924e-09,1.2040929924063764e-06,224425024606.45404,3.750491779486676e-08,1.2040929924063768e-06,224425024606.45108,3.7504917794867e-08,0.0009744592528005939,0.0015959871962420576,0.0008762116308275922,0.0011686350889282807,0.0018796492251052076,0.0010687901694544824,0.00116863508892825,0.0018796492251052246,0.0010687901694543852,0.001165620786028057,0.0018783376085114694,0.001069485503517895
2000,0.0,7.6036412715911865,2.6090421299812795e-07,22619678059.854553,6.4620980369341e-09,4.5314104773393587e-07,80981066765.419,1.3948937217915253e-08,4.531410477339362e-07,80981066765.41838,1.3948937217915401e-08,0.0009361203513497097,0.0015292610860390022,0.0008343737621353122,0.0009712034738051868,0.0016016280554138813,0.0009224452734096849,0.0009712034738051969,0.0016016280554139348,0.0009224452734094419,0.0009713355619725776,0.0016075714996398513,0.0009253410746184878
2500,0.0,10.180752992630005,1.6061260534290795e-07,13646850749.974453,4.20831919469377e-09,1.8110109406266e-07,17367863155.275276,4.952242223969826e-09,1.8110109406266043e-07,17367863155.269894,4.952242223970176e-09,0.0009056247411363078,0.0014494289407487098,0.0008050702456009063,0.0009435763597980304,0.0015523745646859187,0.0009070042798420673,0.0009435763597980394,0.0015523745646859788,0.000907004279841939,0.000943558075829681,0.0015546664586021477,0.0009100392674719851
3000,0.0,12.322135925292969,1.3183501166457821e-07,18647741063.036144,4.5889473070934885e-09,1.1804270250434749e-07,17204424379.520058,3.806729989244958e-09,1.1804270250434793e-07,17204424379.517967,3.806729989245109e-09,0.0008592197257425356,0.00144976421028946,0.0008072279532797113,0.0009105307840239775,0.0015416796670918798,0.0008384838831791481,0.0009105307840240048,0.0015416796670918646,0.0008384838831789875,0.0009105367695680065,0.0015424751026954647,0.0008391279498289756
3500,0.0,15.359820365905762,1.1548080344879243e-07,21451574297.14068,3.966469343777694e-09,9.71455181755678e-08,14716025344.56158,3.186293333553883e-09,9.714551817556826e-08,14716025344.559214,3.1862933335539003e-09,0.0008668233898617067,0.0014082081892225623,0.0007689557518763596,0.0009336413047809563,0.0014572189296766832,0.0008079224659475069,0.0009336413047809761,0.0014572189296766845,0.0008079224659473673,0.000933657723378777,0.0014628718457072325,0.0008079498743568702
4000,0.0,17.212058544158936,1.0833892036854859e-07,18926200782.66091,3.6598844130181463e-09,9.590794079999572e-08,16608883946.349281,3.183804968544977e-09,9.590794079999626e-08,16608883946.348137,3.1838049685451143e-09,0.0008422944933997467,0.0014064480827486005,0.0007868682415316643,0.0008857593153401643,0.0014894776160033973,0.000824089538972192,0.0008857593153401907,0.001489477616003398,0.0008240895389720737,0.0008850777984830949,0.0014899983847698945,0.0008243447111711275
4500,0.0,19.42296290397644,1.0305289045606462e-07,11989465685.3986,3.2848564519196826e-09,7.584639161453481e-08,10177151887.906116,2.7644437073384196e-09,7.584639161453538e-08,10177151887.9051,2.764443707338538e-09,0.0008517788271402525,0.0013753951929491549,0.0007619500832464837,0.0008652484891306462,0.0014377993611215476,0.0007845030295231165,0.0008652484891306577,0.0014377993611215554,0.0007845030295230512,0.000865171917353317,0.001439731508206653,0.0007844540630154542
5000,0.0,22.679001569747925,9.14058539882688e-08,10571548993.921673,3.1840191522614196e-09,6.18519344781704e-08,8836879314.459045,2.495354329675923e-09,6.185193447817083e-08,8836879314.457304,2.4953543296759906e-09,0.0008232372153435459,0.0013771945726176562,0.0007572704143937447,0.0008320025217727153,0.0014141576959825076,0.0007753976708198284,0.0008320025217727407,0.0014141576959825158,0.000775397670819672,0.0008332351618652858,0.0014188821092610262,0.0007759874806515749
